No,제목,회사,지역,Link
1,HR데이터 분석,현대자동차(주),서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603200001934&src=etc*search
2,종합정보미디어기업 데이터분석가 (플랫폼 서비스 데이터분석자),커리어커넥트(주),서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603210000184&src=etc*search
3,데이터 분석 엔지니어 (Data Analytics Enginner),(주)숲,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250000137&src=etc*search
4,SCM/물류 데이터 분석가,(주)버킷플레이스,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260000151&src=etc*search
5,[빅데이터/포렌식]Software Sales 영업/과장-부장급,(주)피플스카우트,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190000320&src=etc*search
6,마케팅 데이터 분석가 (5년 이상),컴투스,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310000223&src=etc*search
7,[INEEJI] 데이터분석가/AI엔지니어 전문가 채용,(주)인이지,서울 강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603090001146&src=etc*search
8,(홀딩스) 데이터분석가 (4~8년차),컴투스,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310000243&src=etc*search
9,[유명게임사] 게임 데이터 분석가(7년이상),(주)헬로서치,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190002174&src=etc*search
10,[신세계아이앤씨] 데이터분석(데이터사이언스) 인재모집(채용 시 마감),(주)신세계아이앤씨,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250000744&src=etc*search
11,[CJ올리브영] 수요예측 및 물류 데이터분석가,CJ 올리브영,서울 용산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020002197&src=etc*search
12,데이터 분석 경력자 (총괄 리더)-국내 핀테크 유니콘 기업,(주)에이치알원 컨설팅,서울 마포구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020004133&src=etc*search
13,중견기업 데이터분석 및 BI운영 (대리-과장급) 정규직 채용,프로페셔날핸즈인핸즈코리아(주),서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603070000292&src=etc*search
14,[스마트 의료기기] 임상 데이터 관리 & 통계 분석 (시니어급),HR컨설팅(주),경기 성남시 수정구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300004959&src=etc*search
15,[부동산 데이터 기반 스타트업] 코리빙 입지 분석 및 데이터 사이언스 담당(매니저) 경력인재 채용,에스에프인촌 주식회사,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260000295&src=etc*search
16,[CJ올리브영] 글로벌몰 그로스 데이터 분석가,CJ 올리브영,서울 용산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020001986&src=etc*search
17,중견기업 비즈니스 데이터분석 (대리-과장급) 정규직 채용,프로페셔날핸즈인핸즈코리아(주),서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180002201&src=etc*search
18,"Wanted : 세일즈포스 PM, 빅데이터 기술로 기업들의 DX를 이끄는 회사",(주)퍼스트브레인,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603110004407&src=etc*search
19,[신세계디에프(면세점)] CRM & 데이터분석 경력직 채용,(주)신세계디에프,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190003305&src=etc*search
20,AI Big Data 연구원,HR컨설팅(주),경기 용인시 기흥구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602260002028&src=etc*search
21,[AI기반 특허 데이터분석 플랫폼 기업] 정부과제 담당자,에이피써치,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310000906&src=etc*search
22,국가통합바이오빅데이터사무국 간호직/연구직/기사직(임상병리) 채용 안내,강동경희대학교병원,서울 강동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300001187&src=etc*search
23,대형저축은행 플랫폼사업팀원 (제휴서비스/데이터분석 경력자),커리어커넥트(주),서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603050003505&src=etc*search
24,[여의도/상경계열/졸업예정자가능] 금융사 데이터분석 및 운영 지원 직원 모집,주식회사 코리아인,서울 동작구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270000263&src=etc*search
25,Adobe 웹분석컨설팅,(주)피플케어코리아,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602260000151&src=etc*search
26,코스닥 / 빅사이언스기업 / 스마트팩토리솔루션아키텍트,(주)헤드헌트,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602260002005&src=etc*search
27,데이터 분석 및 마케팅 전략 수립을 통해 성장하는 온라인 마케팅 전문가를 찾습니다.,마중물,경기 고양시 일산동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020001094&src=etc*search
28,데이터 거버넌스 관리,써치스퀘어,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270003878&src=etc*search
29,"골든리버 김해지사 // 연구소 건식분석원 (화학 분석원, 금속분석) 모집",(주)골든리버,경남 김해시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180003471&src=etc*search
30,빅4엔터사 - IT LAB 팀장,(주)인코리아 프로페셔널,서울 강동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602260000005&src=etc*search
31,"사회조사분석, 시장조사·분석 신입/경력  채용",쿠틴,경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230001169&src=etc*search
32,[기획실] 데이터인텔리전스팀 데이터&AI 담당자 채용,(주)아워홈,서울 강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240000131&src=etc*search
33,DATA Engineer(데이터 엔지니어),(주)세스코,서울 강동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020000869&src=etc*search
34,데이터 엔지니어 (Google Analytics),(주)이노션,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010002274&src=etc*search
35,데이터 사이언티스트,카카오뱅크,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010002272&src=etc*search
